Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
160332.58,471.15,3283.25,-3747.84
160474.92,428.85,3283.94,-3747.84
160604.22,398.7,3283.94,-3790.14
160790.15,359.4,3283.94,-3820.29
160894.31,352.22,3283.94,-3859.59
160936.21,339.12,3283.94,-3866.77
160986.52,327.61,3283.94,-3879.87
161075.54,330,3283.94,-3891.38
161184.17,313.15,3286.33,-3891.38
161304.48,284.19,3286.33,-3908.23
161343.09,275.55,3286.33,-3937.19
161397.49,264.82,3286.33,-3945.83
161449.38,256.69,3286.33,-3956.56
161521.89,253.81,3286.33,-3964.69
161608.68,239.16,3286.33,-3967.57
161706.4,227.18,3286.33,-3982.22
161909.73,217.64,3286.33,-3994.2
161984.07,233.81,3286.33,-4003.74
162076.37,247.59,3302.5,-4003.74
162184.01,230.92,3316.28,-4003.74
162302.93,237.59,3316.28,-4020.41
162360.65,215.69,3322.95,-4020.41
162537.22,165.66,3322.95,-4042.31
162679.13,144.71,3322.95,-4092.34
162795.07,120.4,3322.95,-4113.29
162929.18,121.94,3322.95,-4137.6
163279.74,121.42,3324.49,-4137.6
163379.8,129.66,3324.49,-4138.12
163594.41,142.66,3332.73,-4138.12
163816.31,136.42,3345.73,-4138.12
164043.14,128.09,3345.73,-4144.36
164204.3,129.48,3345.73,-4152.69
164370.15,140.97,3347.12,-4152.69
164570.47,116.8,3358.61,-4152.69
164829.1,126.18,3358.61,-4176.86
165066.7,116.09,3367.99,-4176.86
165325.05,133.73,3367.99,-4186.95
165495.27,129.51,3385.63,-4186.95
165758.71,124.93,3385.63,-4191.17
165859.99,126.18,3385.63,-4195.75
166047.08,122.46,3386.88,-4195.75
166139.31,124.12,3386.88,-4199.47
166365.55,114.64,3388.54,-4199.47
166678.69,146.45,3388.54,-4208.95
166831.78,137.84,3420.35,-4208.95
166924.1,130.22,3420.35,-4217.56
167010.27,133.36,3420.35,-4225.18
167109.52,131.6,3423.49,-4225.18
167225.57,140.77,3423.49,-4226.94
167332.6,146.17,3432.66,-4226.94
167452.29,135.61,3438.06,-4226.94
167614.89,119.12,3438.06,-4237.5
167765.43,121.91,3438.06,-4253.99
167921.06,102.76,3440.85,-4253.99
168153.02,99,3440.85,-4273.14
168328.32,121.18,3440.85,-4276.9
168475.63,123.8,3463.03,-4276.9
168646.52,129.08,3465.65,-4276.9
168805.24,143.11,3470.93,-4276.9
169002.4,189.61,3484.96,-4276.9
169193.86,213.95,3531.46,-4276.9
169458,251.29,3555.8,-4276.9
169651.01,263.62,3593.14,-4276.9
169742.33,235.56,3605.47,-4276.9
169842.05,244.41,3605.47,-4304.96
169928.66,224.31,3614.32,-4304.96
169985.08,226.25,3614.32,-4325.06
170099.54,250.19,3616.26,-4325.06
170228.25,247.42,3640.2,-4325.06
170472.25,221.25,3640.2,-4327.83
170797.85,279.47,3640.2,-4354
170947.83,293.57,3698.42,-4354
171094.75,305.32,3712.52,-4354
171451.85,364.65,3724.27,-4354
171932.12,411.54,3783.6,-4354
